,Bills,Pay Date,Minimum Due,Remaining / Notes,Check Balance,Checking Balance
true,Vehicle,N/A,0,,931.0099999999999,946.5799999999996
true,Half Rent,Fri Nov 18 2022 01:00:00 GMT-0500 (Eastern Standard Time),-447.5,Rent - 2nd Half December,483.5099999999999,499.0799999999996
true,Car Payment,Fri Nov 18 2022 01:00:00 GMT-0500 (Eastern Standard Time),-319.95,November Car Payment,163.5599999999999,179.1299999999996
true,Above Lending,Mon Nov 21 2022 01:00:00 GMT-0500 (Eastern Standard Time),-86.95,0,76.60999999999989,92.1799999999996
true,Credit Cards,Fri Nov 18 2022 01:00:00 GMT-0500 (Eastern Standard Time),-29,,47.609999999999886,63.179999999999595
true,WPS - Gas,Fri Nov 18 2022 01:00:00 GMT-0500 (Eastern Standard Time),-62,,-14.390000000000114,1.1799999999995947
true,Affirm (NewEgg - $566.65),Fri Nov 18 2022 01:00:00 GMT-0500 (Eastern Standard Time),0,113.34,-14.390000000000114,1.1799999999995947
,11/18/2022 - 12/01/2022,,,Extra Money Left Over : ,0.18,
true,Paycheck MTM,Fri Dec 02 2022 01:00:00 GMT-0500 (Eastern Standard Time),1020.8399999999999,,1020.8399999999999,1021.0199999999999
true,Overtime,Fri Dec 02 2022 01:00:00 GMT-0500 (Eastern Standard Time),145.98,,1166.82,1166.9999999999998
true,Groceries,N/A,-232.14000000000001,,934.68,934.8599999999998
true,Cigarettes,N/A,-38.71,,895.9699999999999,896.1499999999997
true,Gas,N/A,0,,895.9699999999999,896.1499999999997
true,Entertainment,N/A,-14.99,,880.9799999999999,881.1599999999997
true,Medical,N/A,-15.25,,865.7299999999999,865.9099999999997
true,Maintenance,N/A,0,,865.7299999999999,865.9099999999997
true,Vehicle,N/A,0,,865.7299999999999,865.9099999999997
true,Half Rent,Fri Dec 02 2022 01:00:00 GMT-0500 (Eastern Standard Time),-472.31,Rent - 1st Half January + Water,393.4199999999999,393.59999999999974
true,Above Lending,Mon Dec 05 2022 01:00:00 GMT-0500 (Eastern Standard Time),-86.95,6463.17,306.4699999999999,306.64999999999975
true,XFinity,Fri Dec 02 2022 01:00:00 GMT-0500 (Eastern Standard Time),-74.7,,231.76999999999992,231.94999999999976
true,Car Insurance,Fri Dec 02 2022 01:00:00 GMT-0500 (Eastern Standard Time),-80.01,,151.75999999999993,151.93999999999977
true,Renter's Insurance,Fri Dec 02 2022 01:00:00 GMT-0500 (Eastern Standard Time),-28.18,,123.57999999999993,123.75999999999976
true,MPU - Electric,Tue Dec 06 2022 01:00:00 GMT-0500 (Eastern Standard Time),-60.73,,62.84999999999993,63.02999999999977
,12/02/2022 - 12/15/2022,,,Extra Money Left Over : ,63.02999999999977,
true,Paycheck MTM,Fri Dec 16 2022 01:00:00 GMT-0500 (Eastern Standard Time),1107.94,,1107.94,1170.9699999999998
true,Overtime,Fri Dec 16 2022 01:00:00 GMT-0500 (Eastern Standard Time),145.98,,1253.92,1316.9499999999998
true,Groceries,N/A,-53.370000000000005,,1200.5500000000002,1263.58
true,Cigarettes,N/A,-32.760000000000005,,1167.7900000000002,1230.82
true,Gas,N/A,-23.05,,1144.7400000000002,1207.77
true,Entertainment,N/A,-52.49,,1092.2500000000002,1155.28
true,Medical,N/A,-9.56,,1082.6900000000003,1145.72
true,Maintenance,N/A,0,,1082.6900000000003,1145.72
true,Vehicle,N/A,-8.95,,1073.7400000000002,1136.77
true,Half Rent,Fri Dec 16 2022 01:00:00 GMT-0500 (Eastern Standard Time),-447.5,Rent - 2nd Half January,626.2400000000002,689.27
true,Above Lending,Mon Dec 19 2022 01:00:00 GMT-0500 (Eastern Standard Time),-86.95,0,539.2900000000002,602.3199999999999
true,US Cellular - Bill,Fri Dec 23 2022 01:00:00 GMT-0500 (Eastern Standard Time),-133.79,,405.5000000000002,468.53
true,US Cellular - Phone,Fri Dec 23 2022 01:00:00 GMT-0500 (Eastern Standard Time),-46.66,Payment 24 / 30,358.84000000000026,421.87
true,Car Payment,Sun Dec 18 2022 01:00:00 GMT-0500 (Eastern Standard Time),-315,December Car Payment,43.84000000000026,106.87
true,WPS - Gas,Thu Dec 22 2022 01:00:00 GMT-0500 (Eastern Standard Time),-62,,-18.15999999999974,44.870000000000005
true,Credit Cards,Sun Dec 25 2022 01:00:00 GMT-0500 (Eastern Standard Time),-29,408.4,-47.15999999999974,15.870000000000005
true,Planet Fitness,Sat Dec 17 2022 01:00:00 GMT-0500 (Eastern Standard Time),-10,,-57.15999999999974,5.8700000000000045
,12/16/2022 - 12/29/2022,,,Extra Money Left Over : ,0.63,
true,Paycheck MTM,Fri Dec 30 2022 01:00:00 GMT-0500 (Eastern Standard Time),999.8199999999999,,999.8199999999999,1000.4499999999999
true,Overtime,Fri Dec 30 2022 01:00:00 GMT-0500 (Eastern Standard Time),145.98,,1145.8,1146.43
true,Groceries,N/A,-296.54999999999995,,849.25,849.8800000000001
true,Cigarettes,N/A,-45.489999999999995,,803.76,804.3900000000001
true,Gas,N/A,-53.57,,750.1899999999999,750.82
true,Entertainment,N/A,-227.38,,522.81,523.44
true,Medical,N/A,-35.25,,487.55999999999995,488.19000000000005
true,Vehicle,N/A,-12,,475.55999999999995,476.19000000000005
true,Maintenance,N/A,-18.1,,457.4599999999999,458.09000000000003
true,Rent Paid - Just Water,Tue Jan 03 2023 01:00:00 GMT-0500 (Eastern Standard Time),-42.61,,414.8499999999999,415.48
true,Above Lending,Tue Jan 03 2023 01:00:00 GMT-0500 (Eastern Standard Time),-86.95,,327.8999999999999,328.53000000000003
true,Subscription - Video,Sun Jan 01 2023 01:00:00 GMT-0500 (Eastern Standard Time),-15.04,,312.8599999999999,313.49
true,XFinity,Fri Dec 30 2022 01:00:00 GMT-0500 (Eastern Standard Time),-84.33,,228.52999999999992,229.16000000000003
true,Car Insurance,Fri Dec 30 2022 01:00:00 GMT-0500 (Eastern Standard Time),-80.05,,148.4799999999999,149.11
true,Renter's Insurance,Fri Dec 30 2022 01:00:00 GMT-0500 (Eastern Standard Time),-19.09,,129.3899999999999,130.02
true,MPU - Electric,Fri Dec 30 2022 01:00:00 GMT-0500 (Eastern Standard Time),-47.58,,81.8099999999999,82.44000000000001
,12/30/2022 - 1/13/2022,,,Extra Money Left Over : ,82.44000000000001,
