Affirm Payoff Schedule / Phone Number to Call : 1-855-423-3729,,,,,,,,,,,,,,,,
,Payment,Date,Amount,Remaining,,,Payment,Date,Amount,Remaining,,,Affirm,Loan Code,Total Owed,Percentage
Skipped,Skipped,,,,,Tue Jul 25 2023 01:00:00 GMT-0400 (Eastern Daylight Time),WalMart 1-,Fri Jun 02 2023 01:00:00 GMT-0400 (Eastern Daylight Time),47.35,804.89,,,TOTAL,,,
,,,,,,,WalMart 2-,Fri Jun 02 2023 01:00:00 GMT-0400 (Eastern Daylight Time),47.06,799.9200000000003,,,270.65166666666664,,135.32583333333332,
,,,,,,,NewEgg-,Fri Jun 02 2023 01:00:00 GMT-0400 (Eastern Daylight Time),23.61,401.3799999999999,,,,,,
,,,,,,,WalMart 3-,Fri Jun 02 2023 01:00:00 GMT-0400 (Eastern Daylight Time),6.3,107.16999999999999,,,Paid,,Remaining,
,,,,,,,WalMart 4-,Fri Jun 02 2023 01:00:00 GMT-0400 (Eastern Daylight Time),11.01,187.1500000000001,,,2,,1041.645,
Skipped,Skipped,,,,,Fri Aug 25 2023 01:00:00 GMT-0400 (Eastern Daylight Time),WalMart 1-,Fri Jun 16 2023 01:00:00 GMT-0400 (Eastern Daylight Time),47.35,757.54,,,2,,1035.2283333333332,
,,,,,,,WalMart 2-,Fri Jun 16 2023 01:00:00 GMT-0400 (Eastern Daylight Time),47.06,752.8600000000004,,,2,,519.4291666666667,
,,,,,,,NewEgg-,Fri Jun 16 2023 01:00:00 GMT-0400 (Eastern Daylight Time),23.61,377.76999999999987,,,2,,138.6641666666667,
,,,,,,,WalMart 3-,Fri Jun 16 2023 01:00:00 GMT-0400 (Eastern Daylight Time),6.3,100.86999999999999,,,2,,242.20166666666668,
,,,,,,,WalMart 4-,Fri Jun 16 2023 01:00:00 GMT-0400 (Eastern Daylight Time),11.01,176.1400000000001,,,$2977.17 Remaining,,,
Sat Mar 25 2023 01:00:00 GMT-0400 (Eastern Daylight Time),WalMart 1-,Fri Apr 07 2023 01:00:00 GMT-0400 (Eastern Daylight Time),47.35,994.2900000000001,,Mon Sep 25 2023 01:00:00 GMT-0400 (Eastern Daylight Time),WalMart 1-,Fri Jun 30 2023 01:00:00 GMT-0400 (Eastern Daylight Time),47.35,710.1899999999999,,,Updated : 02/23/2023,,,
,WalMart 2-,Fri Apr 07 2023 01:00:00 GMT-0400 (Eastern Daylight Time),47.06,988.1600000000001,,,WalMart 2-,Fri Jun 30 2023 01:00:00 GMT-0400 (Eastern Daylight Time),47.06,705.8000000000004,,,,,,
,NewEgg-,Fri Apr 07 2023 01:00:00 GMT-0400 (Eastern Daylight Time),23.61,495.81999999999994,,,NewEgg-,Fri Jun 30 2023 01:00:00 GMT-0400 (Eastern Daylight Time),23.61,354.15999999999985,,,,,,
,WalMart 3-,Fri Apr 07 2023 01:00:00 GMT-0400 (Eastern Daylight Time),6.3,132.36999999999998,,,WalMart 3-,Fri Jun 30 2023 01:00:00 GMT-0400 (Eastern Daylight Time),6.3,94.57,,,,,,
,WalMart 4-,Fri Apr 07 2023 01:00:00 GMT-0400 (Eastern Daylight Time),11.01,231.19000000000005,,,WalMart 4-,Fri Jun 30 2023 01:00:00 GMT-0400 (Eastern Daylight Time),11.01,165.1300000000001,,,,,,
,,,,,,,,,,,,,,,,
Affirm Payoff Schedule / Phone Number to Call : 1-855-423-3729,,,,,,,,,,,,,,,,
,Payment,Date,Amount,Remaining,,,Payment,Date,Amount,Remaining,,,Payment,Date,Amount,Remaining
Wed Oct 25 2023 01:00:00 GMT-0400 (Eastern Daylight Time),WalMart 1-,Fri Jul 14 2023 01:00:00 GMT-0400 (Eastern Daylight Time),47.35,662.8399999999999,,16/25,WalMart 1-,Fri Oct 06 2023 01:00:00 GMT-0400 (Eastern Daylight Time),47.35,378.7399999999998,,22/25,WalMart 1-,Fri Dec 29 2023 01:00:00 GMT-0500 (Eastern Standard Time),47.35,94.69999999999976
,WalMart 2-,Fri Jul 14 2023 01:00:00 GMT-0400 (Eastern Daylight Time),47.06,658.7400000000005,,,WalMart 2-,Fri Oct 06 2023 01:00:00 GMT-0400 (Eastern Daylight Time),47.06,376.3800000000006,,,WalMart 2-,Fri Dec 29 2023 01:00:00 GMT-0500 (Eastern Standard Time),47.06,94.1200000000006
,NewEgg-,Fri Jul 14 2023 01:00:00 GMT-0400 (Eastern Daylight Time),23.61,330.54999999999984,,,NewEgg-,Fri Oct 06 2023 01:00:00 GMT-0400 (Eastern Daylight Time),23.61,188.88999999999976,,,NewEgg-,Fri Dec 29 2023 01:00:00 GMT-0500 (Eastern Standard Time),23.61,47.21999999999973
,WalMart 3-,Fri Jul 14 2023 01:00:00 GMT-0400 (Eastern Daylight Time),6.3,88.27,,,WalMart 3-,Fri Oct 06 2023 01:00:00 GMT-0400 (Eastern Daylight Time),6.3,50.47000000000001,,,WalMart 3-,Fri Dec 29 2023 01:00:00 GMT-0500 (Eastern Standard Time),6.3,12.600000000000016
,WalMart 4-,Fri Jul 14 2023 01:00:00 GMT-0400 (Eastern Daylight Time),11.01,154.12000000000012,,,WalMart 4-,Fri Oct 06 2023 01:00:00 GMT-0400 (Eastern Daylight Time),11.01,88.06000000000012,,,WalMart 4-,Fri Dec 29 2023 01:00:00 GMT-0500 (Eastern Standard Time),11.01,22.02000000000011
Sat Nov 25 2023 01:00:00 GMT-0500 (Eastern Standard Time),WalMart 1-,Fri Jul 28 2023 01:00:00 GMT-0400 (Eastern Daylight Time),47.35,615.4899999999999,,17/25,WalMart 1-,Fri Oct 20 2023 01:00:00 GMT-0400 (Eastern Daylight Time),47.35,331.38999999999976,,23/25,WalMart 1-,Fri Jan 12 2024 01:00:00 GMT-0500 (Eastern Standard Time),47.35,47.34999999999976
,WalMart 2-,Fri Jul 28 2023 01:00:00 GMT-0400 (Eastern Daylight Time),47.06,611.6800000000005,,,WalMart 2-,Fri Oct 20 2023 01:00:00 GMT-0400 (Eastern Daylight Time),47.06,329.3200000000006,,,WalMart 2-,Fri Jan 12 2024 01:00:00 GMT-0500 (Eastern Standard Time),47.06,47.0600000000006
,NewEgg-,Fri Jul 28 2023 01:00:00 GMT-0400 (Eastern Daylight Time),23.61,306.9399999999998,,,NewEgg-,Fri Oct 20 2023 01:00:00 GMT-0400 (Eastern Daylight Time),23.61,165.27999999999975,,,NewEgg-,Fri Jan 12 2024 01:00:00 GMT-0500 (Eastern Standard Time),23.61,23.60999999999973
,WalMart 3-,Fri Jul 28 2023 01:00:00 GMT-0400 (Eastern Daylight Time),6.3,81.97,,,WalMart 3-,Fri Oct 20 2023 01:00:00 GMT-0400 (Eastern Daylight Time),6.3,44.170000000000016,,,WalMart 3-,Fri Jan 12 2024 01:00:00 GMT-0500 (Eastern Standard Time),6.3,6.300000000000016
,WalMart 4-,Fri Jul 28 2023 01:00:00 GMT-0400 (Eastern Daylight Time),11.01,143.11000000000013,,,WalMart 4-,Fri Oct 20 2023 01:00:00 GMT-0400 (Eastern Daylight Time),11.01,77.05000000000011,,,WalMart 4-,Fri Jan 12 2024 01:00:00 GMT-0500 (Eastern Standard Time),11.01,11.01000000000011
Mon Dec 25 2023 01:00:00 GMT-0500 (Eastern Standard Time),WalMart 1-,Fri Aug 11 2023 01:00:00 GMT-0400 (Eastern Daylight Time),47.35,568.1399999999999,,18/25,WalMart 1-,Fri Nov 03 2023 01:00:00 GMT-0400 (Eastern Daylight Time),47.35,284.03999999999974,,24/25,WalMart 1-,Fri Jan 26 2024 01:00:00 GMT-0500 (Eastern Standard Time),47.35,0
,WalMart 2-,Fri Aug 11 2023 01:00:00 GMT-0400 (Eastern Daylight Time),47.06,564.6200000000006,,,WalMart 2-,Fri Nov 03 2023 01:00:00 GMT-0400 (Eastern Daylight Time),47.06,282.2600000000006,,,WalMart 2-,Fri Jan 26 2024 01:00:00 GMT-0500 (Eastern Standard Time),47.06,0
,NewEgg-,Fri Aug 11 2023 01:00:00 GMT-0400 (Eastern Daylight Time),23.61,283.3299999999998,,,NewEgg-,Fri Nov 03 2023 01:00:00 GMT-0400 (Eastern Daylight Time),23.61,141.66999999999973,,,NewEgg-,Fri Jan 26 2024 01:00:00 GMT-0500 (Eastern Standard Time),23.61,0
,WalMart 3-,Fri Aug 11 2023 01:00:00 GMT-0400 (Eastern Daylight Time),6.3,75.67,,,WalMart 3-,Fri Nov 03 2023 01:00:00 GMT-0400 (Eastern Daylight Time),6.3,37.87000000000002,,,WalMart 3-,Fri Jan 26 2024 01:00:00 GMT-0500 (Eastern Standard Time),6.3,0
,WalMart 4-,Fri Aug 11 2023 01:00:00 GMT-0400 (Eastern Daylight Time),11.01,132.10000000000014,,,WalMart 4-,Fri Nov 03 2023 01:00:00 GMT-0400 (Eastern Daylight Time),11.01,66.0400000000001,,,WalMart 4-,Fri Jan 26 2024 01:00:00 GMT-0500 (Eastern Standard Time),11.01,0
13/25,WalMart 1-,Fri Aug 25 2023 01:00:00 GMT-0400 (Eastern Daylight Time),47.35,520.7899999999998,,19/25,WalMart 1-,Fri Nov 17 2023 01:00:00 GMT-0500 (Eastern Standard Time),47.35,236.68999999999974,,,,,,
,WalMart 2-,Fri Aug 25 2023 01:00:00 GMT-0400 (Eastern Daylight Time),47.06,517.5600000000006,,,WalMart 2-,Fri Nov 17 2023 01:00:00 GMT-0500 (Eastern Standard Time),47.06,235.2000000000006,,,,,,
,NewEgg-,Fri Aug 25 2023 01:00:00 GMT-0400 (Eastern Daylight Time),23.61,259.7199999999998,,,NewEgg-,Fri Nov 17 2023 01:00:00 GMT-0500 (Eastern Standard Time),23.61,118.05999999999973,,,,,,
,WalMart 3-,Fri Aug 25 2023 01:00:00 GMT-0400 (Eastern Daylight Time),6.3,69.37,,,WalMart 3-,Fri Nov 17 2023 01:00:00 GMT-0500 (Eastern Standard Time),6.3,31.570000000000018,,,,,,
,WalMart 4-,Fri Aug 25 2023 01:00:00 GMT-0400 (Eastern Daylight Time),11.01,121.09000000000013,,,WalMart 4-,Fri Nov 17 2023 01:00:00 GMT-0500 (Eastern Standard Time),11.01,55.03000000000011,,,,,,
14/25,WalMart 1-,Fri Sep 08 2023 01:00:00 GMT-0400 (Eastern Daylight Time),47.35,473.4399999999998,,20/25,WalMart 1-,Fri Dec 01 2023 01:00:00 GMT-0500 (Eastern Standard Time),47.35,189.33999999999975,,,,,,
,WalMart 2-,Fri Sep 08 2023 01:00:00 GMT-0400 (Eastern Daylight Time),47.06,470.5000000000006,,,WalMart 2-,Fri Dec 01 2023 01:00:00 GMT-0500 (Eastern Standard Time),47.06,188.1400000000006,,,,,,
,NewEgg-,Fri Sep 08 2023 01:00:00 GMT-0400 (Eastern Daylight Time),23.61,236.1099999999998,,,NewEgg-,Fri Dec 01 2023 01:00:00 GMT-0500 (Eastern Standard Time),23.61,94.44999999999973,,,,,,
,WalMart 3-,Fri Sep 08 2023 01:00:00 GMT-0400 (Eastern Daylight Time),6.3,63.07000000000001,,,WalMart 3-,Fri Dec 01 2023 01:00:00 GMT-0500 (Eastern Standard Time),6.3,25.270000000000017,,,,,,
,WalMart 4-,Fri Sep 08 2023 01:00:00 GMT-0400 (Eastern Daylight Time),11.01,110.08000000000013,,,WalMart 4-,Fri Dec 01 2023 01:00:00 GMT-0500 (Eastern Standard Time),11.01,44.02000000000011,,,,,,
15/25,WalMart 1-,Fri Sep 22 2023 01:00:00 GMT-0400 (Eastern Daylight Time),47.35,426.0899999999998,,21/25,WalMart 1-,Fri Dec 15 2023 01:00:00 GMT-0500 (Eastern Standard Time),47.29,142.04999999999976,,,,,,
,WalMart 2-,Fri Sep 22 2023 01:00:00 GMT-0400 (Eastern Daylight Time),47.06,423.4400000000006,,,WalMart 2-,Fri Dec 15 2023 01:00:00 GMT-0500 (Eastern Standard Time),46.96,141.1800000000006,,,,,,
,NewEgg-,Fri Sep 22 2023 01:00:00 GMT-0400 (Eastern Daylight Time),23.61,212.49999999999977,,,NewEgg-,Fri Dec 15 2023 01:00:00 GMT-0500 (Eastern Standard Time),23.62,70.82999999999973,,,,,,
,WalMart 3-,Fri Sep 22 2023 01:00:00 GMT-0400 (Eastern Daylight Time),6.3,56.77000000000001,,,WalMart 3-,Fri Dec 15 2023 01:00:00 GMT-0500 (Eastern Standard Time),6.37,18.900000000000016,,,,,,
,WalMart 4-,Fri Sep 22 2023 01:00:00 GMT-0400 (Eastern Daylight Time),11.01,99.07000000000012,,,WalMart 4-,Fri Dec 15 2023 01:00:00 GMT-0500 (Eastern Standard Time),10.99,33.03000000000011,,,,,,
