,,,,,,,,,
,Period,Date,Monthly Payment,Interest Payment,Principal Payment,Loan Balance,,Principal amount,Interest Rate
,17,Thu Aug 18 2022 01:00:00 GMT-0400 (Eastern Daylight Time),-298.96,-156.61408547701393,-142.34591452298605,11240.484685024307,,,
,18,Sun Sep 18 2022 01:00:00 GMT-0400 (Eastern Daylight Time),-298.96,-154.7342371837332,-144.22576281626678,11096.25892220804,,,
,19,Tue Oct 18 2022 01:00:00 GMT-0400 (Eastern Daylight Time),-298.96,-152.82869763044428,-146.1313023695557,10950.127619838484,,,
,20,Fri Nov 18 2022 01:00:00 GMT-0500 (Eastern Standard Time),-298.96,-150.8971157032604,-148.06288429673958,10802.064735541744,,,
,21,Sun Dec 18 2022 01:00:00 GMT-0500 (Eastern Standard Time),-298.96,-148.93913548973833,-150.02086451026165,10652.043871031483,,,
,22,Wed Jan 18 2023 01:00:00 GMT-0500 (Eastern Standard Time),-298.96,-146.95439621329817,-152.0056037867018,10500.038267244781,,,
,23,Sat Feb 18 2023 01:00:00 GMT-0500 (Eastern Standard Time),-298.96,-144.94253216674664,-154.01746783325333,10346.020799411528,,,
,24,Sat Mar 18 2023 01:00:00 GMT-0400 (Eastern Daylight Time),-298.96,-142.90317264489224,-156.05682735510774,10189.963972056421,,,
,25,Tue Apr 18 2023 01:00:00 GMT-0400 (Eastern Daylight Time),-298.96,-140.83594187623913,-158.12405812376085,10031.83991393266,,,
,26,Thu May 18 2023 01:00:00 GMT-0400 (Eastern Daylight Time),-298.96,-138.74045895374778,-160.2195410462522,9871.620372886407,,,
,27,Sun Jun 18 2023 01:00:00 GMT-0400 (Eastern Daylight Time),-298.96,-136.61633776464907,-162.3436622353509,9709.276710651056,,,
,28,Tue Jul 18 2023 01:00:00 GMT-0400 (Eastern Daylight Time),-298.96,-134.46318691929932,-164.49681308070066,9544.779897570355,,,
,29,Fri Aug 18 2023 01:00:00 GMT-0400 (Eastern Daylight Time),-298.96,-132.28060967906313,-166.67939032093685,9378.100507249419,,,
,30,Mon Sep 18 2023 01:00:00 GMT-0400 (Eastern Daylight Time),-298.96,-130.06820388321037,-168.8917961167896,9209.20871113263,,,
,31,Wed Oct 18 2023 01:00:00 GMT-0400 (Eastern Daylight Time),-298.96,-127.82556187481431,-171.13443812518568,9038.074273007443,,,
,32,Sat Nov 18 2023 01:00:00 GMT-0500 (Eastern Standard Time),-298.96,-125.55227042563682,-173.40772957436315,8864.66654343308,,,
,33,Mon Dec 18 2023 01:00:00 GMT-0500 (Eastern Standard Time),-298.96,-123.24791065998726,-175.7120893400127,8906.17,,,
,34,Thu Jan 18 2024 01:00:00 GMT-0500 (Eastern Standard Time),-298.96,-120.91205797754047,-178.0479420224595,8728.12205797754,,,
,35,Sun Feb 18 2024 01:00:00 GMT-0500 (Eastern Standard Time),-298.96,-118.54428197510023,-180.41571802489975,8547.70633995264,,,
,36,Mon Mar 18 2024 01:00:00 GMT-0400 (Eastern Daylight Time),-298.96,-116.14414636729335,-182.81585363270665,8364.890486319933,,,
,37,Thu Apr 18 2024 01:00:00 GMT-0400 (Eastern Daylight Time),-298.96,-113.71120890617973,-185.24879109382024,8179.641695226113,,,
,38,Sat May 18 2024 01:00:00 GMT-0400 (Eastern Daylight Time),-298.96,-111.24502129976425,-187.71497870023575,7991.926716525878,,,
,39,Tue Jun 18 2024 01:00:00 GMT-0400 (Eastern Daylight Time),-298.96,-108.74512912939441,-190.21487087060558,7801.711845655273,,,
,40,Thu Jul 18 2024 01:00:00 GMT-0400 (Eastern Daylight Time),-298.96,-106.21107176602952,-192.74892823397045,7608.962917421302,,,
,41,Sun Aug 18 2024 01:00:00 GMT-0400 (Eastern Daylight Time),-298.96,-103.64238228536531,-195.31761771463465,7413.645299706668,,,
,42,Wed Sep 18 2024 01:00:00 GMT-0400 (Eastern Daylight Time),-298.96,-101.03858738179869,-197.9214126182013,7215.723887088467,,,
,43,Fri Oct 18 2024 01:00:00 GMT-0400 (Eastern Daylight Time),-298.96,-98.39920728121666,-200.56079271878332,7015.163094369684,,,
,44,Mon Nov 18 2024 01:00:00 GMT-0500 (Eastern Standard Time),-298.96,-95.72375565259335,-203.23624434740663,6811.926850022277,,,
,45,Wed Dec 18 2024 01:00:00 GMT-0500 (Eastern Standard Time),-298.96,-93.01173951837885,-205.94826048162113,6605.978589540656,,,
,46,Sat Jan 18 2025 01:00:00 GMT-0500 (Eastern Standard Time),-298.96,-90.26265916366341,-208.69734083633656,6397.281248704319,,,
,47,Tue Feb 18 2025 01:00:00 GMT-0500 (Eastern Standard Time),-298.96,-87.47600804410018,-211.4839919558998,6185.797256748419,,,
,48,Tue Mar 18 2025 01:00:00 GMT-0400 (Eastern Daylight Time),-298.96,-84.6512726925696,-214.3087273074304,5971.488529440989,,,
,49,Fri Apr 18 2025 01:00:00 GMT-0400 (Eastern Daylight Time),-298.96,-81.78793262456813,-217.17206737543185,5754.316462065557,,,
,50,Sun May 18 2025 01:00:00 GMT-0400 (Eastern Daylight Time),-298.96,-78.88546024230392,-220.07453975769607,5534.241922307861,,,
,51,Wed Jun 18 2025 01:00:00 GMT-0400 (Eastern Daylight Time),-298.96,-75.94332073748215,-223.0166792625178,5311.225243045344,,,
,52,Fri Jul 18 2025 01:00:00 GMT-0400 (Eastern Daylight Time),-298.96,-72.96097199276112,-225.99902800723885,5085.226215038105,,,
,53,Mon Aug 18 2025 01:00:00 GMT-0400 (Eastern Daylight Time),-298.96,-69.93786448186225,-229.02213551813773,4856.204079519967,,,
,54,Thu Sep 18 2025 01:00:00 GMT-0400 (Eastern Daylight Time),-298.96,-66.87344116831439,-232.08655883168558,4624.117520688282,,,
,55,Sat Oct 18 2025 01:00:00 GMT-0400 (Eastern Daylight Time),-298.96,-63.76713740281477,-235.1928625971852,4388.924658091097,,,
,56,Tue Nov 18 2025 01:00:00 GMT-0500 (Eastern Standard Time),-298.96,-60.61838081918662,-238.34161918081335,4150.583038910283,,,
,57,Thu Dec 18 2025 01:00:00 GMT-0500 (Eastern Standard Time),-298.96,-57.42659122891554,-241.53340877108445,3909.0496301391986,,,
,58,Sun Jan 18 2026 01:00:00 GMT-0500 (Eastern Standard Time),-298.96,-54.19118051424412,-244.76881948575587,3664.2808106534426,,,
,59,Wed Feb 18 2026 01:00:00 GMT-0500 (Eastern Standard Time),-298.96,-50.91155251980552,-248.04844748019445,3416.232363173248,,,
,60,Wed Mar 18 2026 01:00:00 GMT-0400 (Eastern Daylight Time),-298.96,-47.58710294277625,-251.37289705722372,3164.859466116024,,,
,61,Sat Apr 18 2026 01:00:00 GMT-0400 (Eastern Daylight Time),-298.96,-44.21721922152757,-254.74278077847242,2910.1166853375516,,,
,62,Mon May 18 2026 01:00:00 GMT-0400 (Eastern Daylight Time),-298.96,-40.80128042275513,-258.1587195772448,2651.9579657603067,,,
,63,Thu Jun 18 2026 01:00:00 GMT-0400 (Eastern Daylight Time),-298.96,-37.3386571270662,-261.6213428729338,2390.336622887373,,,
,64,Sat Jul 18 2026 01:00:00 GMT-0400 (Eastern Daylight Time),-298.96,-33.82871131300281,-265.13128868699715,2125.2053342003755,,,
,65,Tue Aug 18 2026 01:00:00 GMT-0400 (Eastern Daylight Time),-298.96,-30.270796239480553,-268.68920376051943,1856.5161304398562,,,
,66,Fri Sep 18 2026 01:00:00 GMT-0400 (Eastern Daylight Time),-298.96,-26.664256326620166,-272.29574367337983,1584.2203867664764,,,
,67,Sun Oct 18 2026 01:00:00 GMT-0400 (Eastern Daylight Time),-298.96,-23.00842703495069,-275.9515729650493,1308.268813801427,,,
,68,Wed Nov 18 2026 01:00:00 GMT-0500 (Eastern Standard Time),-298.96,-19.30263474296173,-279.65736525703824,1028.6114485443888,,,
,69,Fri Dec 18 2026 01:00:00 GMT-0500 (Eastern Standard Time),-298.96,-15.546196622982256,-283.4138033770177,745.1976451673711,,,
,70,Mon Jan 18 2027 01:00:00 GMT-0500 (Eastern Standard Time),-298.96,-11.738420515363057,-287.22157948463695,457.97606568273414,,,
,71,Thu Feb 18 2027 01:00:00 GMT-0500 (Eastern Standard Time),-298.96,-7.878604800939736,-291.08139519906024,166.8946704836739,,,
,72,Thu Mar 18 2027 01:00:00 GMT-0400 (Eastern Daylight Time),-298.96,-3.9660382717526224,-294.99396172824737,-128.09929124457346,,,
